Var1,Freq,Old category,New category,Bot
they seem so openminded when reporting,1,they seem so openminded when reporting,"News exhibits political moderation, unbiasedness, or accuracy",
They seem to be unbiased,1,They seem to be unbiased,"News exhibits political moderation, unbiasedness, or accuracy",
they speak the truth,1,they speak the truth,"News exhibits political moderation, unbiasedness, or accuracy",
They still play other shows from back the. That no one else air,1,They still play other shows from back the. That no one else air,Range and diversity of programming,
They support my view about the society,1,They support my view about the society,Other,
They tell it like it is with no bias,1,They tell it like it is with no bias,"News exhibits political moderation, unbiasedness, or accuracy",
They tell me stuff I didn't know before.,1,They tell me stuff I didn't know before.,Range and diversity of programming,
They tell the truth,1,They tell the truth,"News exhibits political moderation, unbiasedness, or accuracy",
they trust me,1,they trust me,Other,
they're good,1,they're good,Other,
They've been around my whole life and still view as very strong,1,They've been around my whole life and still view as very strong,"Nostalgia, familiarity, and comfort",
They've been reliable every since i can remember,1,They've been reliable every since i can remember,"News exhibits political moderation, unbiasedness, or accuracy",
They’re not a government site.,1,They’re not a government site.,"News exhibits political moderation, unbiasedness, or accuracy",
theyve been around awhile now,1,theyve been around awhile now,"Nostalgia, familiarity, and comfort",
This channel is mostly for kid's programming and it is financed by the public.,1,This channel is mostly for kid's programming and it is financed by the public.,Children's and educational programming,
this is good,2,this is good,Other,
This is I think head are the main reasons I trust PBS so very good and easy to use,1,This is I think head are the main reasons I trust PBS so very good and easy to use,Other,
this is so nice,1,this is so nice,Other,
This is very good,1,This is very good,Other,
This news network spend a lot time criticizing the current sitting president.,1,This news network spend a lot time criticizing the current sitting president.,Other,
thorough unbiased national and local programming,1,thorough unbiased national and local programming,"News exhibits political moderation, unbiasedness, or accuracy",
Thoroughly covers stories.  Willing to take extra time to provide information.  Always includes voices from all sides of an issue.,1,Thoroughly covers stories.  Willing to take extra time to provide information.  Always includes voices from all sides of an issue.,"News exhibits political moderation, unbiasedness, or accuracy",
Those are the main reason,1,Those are the main reason,Other,
To a degree,1,To a degree,Other,Bot
to learn,1,to learn,Children's and educational programming,
To my mind I never feel any prejudice in any of the programs just open honesty.,1,To my mind I never feel any prejudice in any of the programs just open honesty.,"News exhibits political moderation, unbiasedness, or accuracy",
To understand the best possible outcome,1,To understand the best possible outcome,"News exhibits political moderation, unbiasedness, or accuracy",
To watch and get channels,1,To watch and get channels,Other,
Totally reliable,1,Totally reliable,"News exhibits political moderation, unbiasedness, or accuracy",
Touch and hold a clip to pin it. Unpinned clips will be deleted after 1 hour.,1,Touch and hold a clip to pin it. Unpinned clips will be deleted after 1 hour.,Other,Bot
tradition,1,tradition,"Nostalgia, familiarity, and comfort",
Tradition of honesty,1,Tradition of honesty,"News exhibits political moderation, unbiasedness, or accuracy",
Traditionally independent,1,Traditionally independent,"News exhibits political moderation, unbiasedness, or accuracy",
Transparency,2,Transparency,"News exhibits political moderation, unbiasedness, or accuracy",
transparent,1,transparent,"News exhibits political moderation, unbiasedness, or accuracy",
Transparent coverage,1,Transparent coverage,"News exhibits political moderation, unbiasedness, or accuracy",
true news,1,true news,"News exhibits political moderation, unbiasedness, or accuracy",
True news and great entertainment for the family,1,True news and great entertainment for the family,"News exhibits political moderation, unbiasedness, or accuracy",
trust,1,trust,Other,
Trust better,1,Trust better,Other,
trust pbs,1,trust pbs,Other,
"Trust worthy,publicly funded,not influenced by government",1,"Trust worthy,publicly funded,not influenced by government",Public funding,
trustable,1,trustable,Other,
trusted,1,trusted,Other,
Trusted for years. Lotalty.,1,Trusted for years. Lotalty.,"Nostalgia, familiarity, and comfort",
trusted news telecast,1,trusted news telecast,"News exhibits political moderation, unbiasedness, or accuracy",
trustworthy,3,trustworthy,Other,
Trustworthy,2,Trustworthy,Other,
Trusworthy and provides a real look at our people in the US and their needs,1,Trusworthy and provides a real look at our people in the US and their needs,"News exhibits political moderation, unbiasedness, or accuracy",
Truth,2,Truth,"News exhibits political moderation, unbiasedness, or accuracy",
Try to be fair some of the time,1,Try to be fair some of the time,"News exhibits political moderation, unbiasedness, or accuracy",
"Types of programs, the different kinds of things that are used for adults and children",1,"Types of programs, the different kinds of things that are used for adults and children",Range and diversity of programming,
unbiase,1,unbiase,"News exhibits political moderation, unbiasedness, or accuracy",
Unbiased,5,Unbiased,"News exhibits political moderation, unbiasedness, or accuracy",
unbiased news reporting,1,unbiased news reporting,"News exhibits political moderation, unbiasedness, or accuracy",
Unbiased quality news,1,Unbiased quality news,"News exhibits political moderation, unbiasedness, or accuracy",
Unbiased reportage,1,Unbiased reportage,"News exhibits political moderation, unbiasedness, or accuracy",
unbiased reporting,1,unbiased reporting,"News exhibits political moderation, unbiasedness, or accuracy",
unbiased reporting and very entertaining adult programming,1,unbiased reporting and very entertaining adult programming,"News exhibits political moderation, unbiasedness, or accuracy",
"Unbiased, balanced reporting",1,"Unbiased, balanced reporting","News exhibits political moderation, unbiasedness, or accuracy",
"Unbiased, neutral",1,"Unbiased, neutral","News exhibits political moderation, unbiasedness, or accuracy",
"Unbiased,in depth source of news.",1,"Unbiased,in depth source of news.","News exhibits political moderation, unbiasedness, or accuracy",
united,1,united,Other,Bot
unknown,1,unknown,Other,
Unlike other news agencies they give the news not there opinion,1,Unlike other news agencies they give the news not there opinion,"News exhibits political moderation, unbiasedness, or accuracy",
Upfront answers and information,1,Upfront answers and information,"News exhibits political moderation, unbiasedness, or accuracy",
usage,1,usage,Other,Bot
Variety of programs,1,Variety of programs,Range and diversity of programming,
various and pioneering news,1,various and pioneering news,Range and diversity of programming,
vary good,1,vary good,Other,
Very entertaining,1,Very entertaining,Other,
very good,5,very good,Other,
Very good,3,Very good,Other,
Very good and trustred.,1,Very good and trustred.,Other,
very good PBS,1,very good PBS,Other,
very good response,1,very good response,Other,
Very good.,1,Very good.,Other,
very hones,1,very hones,Other,
Very Important,1,Very Important,Other,
very little bias,1,very little bias,Other,
Very much trustable and well,1,Very much trustable and well,Other,
very nice,3,very nice,Other,
Very trust worthy and educational for kids,1,Very trust worthy and educational for kids,Other,
Very Well,1,Very Well,Other,
Verygood,1,Verygood,Other,
Via the,1,Via the,Other,Bot
Watched since a kid,1,Watched since a kid,"Nostalgia, familiarity, and comfort",
Watching for over 50 years of quality programming,1,Watching for over 50 years of quality programming,"Nostalgia, familiarity, and comfort",
We have watched  for years &lt;i feel safe with the programs i watch,1,We have watched  for years &lt;i feel safe with the programs i watch,"Nostalgia, familiarity, and comfort",
well,2,well,Other,
Well contacted channel,1,Well contacted channel,Other,
Well rounded information on programs that I watch on PBS,1,Well rounded information on programs that I watch on PBS,Range and diversity of programming,
"Well, all the reasons are already listed above. PBS is not just a news source and we all grew up with it. They also don't seem to be in anyone's pocket either since they're publicly funded.",1,"Well, all the reasons are already listed above. PBS is not just a news source and we all grew up with it. They also don't seem to be in anyone's pocket either since they're publicly funded.",Public funding,
willingness to admit and correct mistakes,1,willingness to admit and correct mistakes,"News exhibits political moderation, unbiasedness, or accuracy",
yeah i trust,1,yeah i trust,Other,
yes,8,yes,Other,
Yes,4,Yes,Other,
yes good,2,yes good,Other,
Yes I like the look of the above,1,Yes I like the look of the above,Other,
Yes i love pbs,1,Yes i love pbs,Other,
yes i trust PBS,1,yes i trust PBS,Other,
Yes like,2,Yes like,Other,
yes thats right,1,yes thats right,Other,
you have the time to cover the story,1,you have the time to cover the story,High quality programming,
You’ve always been family driven,1,You’ve always been family driven,Children's and educational programming,
